4858,ログアウトするんじゃなかったよ。
4914,「どなたですか」「お[母|かあ]さんよ」
4916,「どうかしたの？」と[小|ちい]さな[白|しろ]いウサギが[聞|き]きました。
4922,「[実|じつ]を[言|い]うと、[俺|おれ]、[高|こう][所|しょ][恐|きょう][怖|ふ][症|しょう]なんだ」「[臆|おく][病|びょう][者|もの]っ！」
4925,「これはとてもおもしろそうだね」とひろしが[言|い]います。
4929,「[手|て][伝|つだ]ってくれてありがとう」「どういたしまして」
4932,お[願|ねが]いだから[泣|な]かないで。
4951,[申|もう]し[訳|わけ]ないけど[長|なが][居|い]できないんですよ。
4988,[驚|おどろ]かない[所|ところ]をみると[知|し]ってたのね。
4991,[失|しつ][礼|れい]だが、[上|じょう][記|き]の[記|き][事|じ]にある[３|みっ]つの[誤|あやま]りを[指|し][摘|てき]しておきたい。
4995,「あの[音|おと]で[考|かんが]え[事|ごと]ができないわ」と、[彼|かの][女|じょ]はタイプライターを[見|み]つめながら[言|い]った。
4996,「ハムレット」はこれまでで[最|もっと]もおもしろい[戯|ぎ][曲|きょく]だと[言|い]われている。
5076,「[塩|しお]を[取|と]って[下|くだ]さい」「はい、どうぞ」
5232,[彼|かれ]は[常|じょう][時|じ][彼|かれ]の[才|さい][能|のう]をねたむ[人|ひと][々|びと]から[中|ちゅう][傷|しょう]されることにうんざりしていた。
5282,[彼|かれ]は[跡|あと][形|かた]もなく[姿|すがた]を[消|け]してしまったんだ。
74010,[私|わたし]は[気|き]が[短|みじか]いし、[口|くち]も[軽|かる]い[男|おとこ]だ。
74013,そちら[様|さま]のお[電|でん][話|わ][番|ばん][号|ごう]をいただけますか。
74015,いいからさっき[盗|と]ったモノを、カバンの[中|なか]から[出|だ]しなさい。
74017,[社|しゃ][長|ちょう]さんの[車|しゃ][種|しゅ]と[色|いろ]は？
74019,[馬|ば][鹿|か]が[移|うつ]るまえにそのような[宗|しゅう][教|きょう]に[関|かか]わらんほうがいい。
74022,[歯|は][医|い][者|しゃ]で[歯|は]についたたばこのヤニを[取|と]ってもらうと、[費|ひ][用|よう]はどれくらいかかるでしょう？
74024,「[騙|だま]された」と[言|い]ってしまえばそれまでですが、「うまい[話|はなし]」に[乗|の]った[当|とう][人|にん]であることは[間|ま][違|ちが]いありません。
74026,そして、この[遊|ゆう][具|ぐ]には[滑|すべ]り[台|だい]のデッキに[上|あ]がる[方|ほう][法|ほう]がもう[一|ひと]つあります。
74027,この[空|くう][港|こう]は[新|しん][千|ち][歳|とせ][空|くう][港|こう]ほど[便|びん][数|すう]が[多|おお]くないので、[送|そう][迎|げい]デッキから[見|み]ても[最|さい][初|しょ]は[飛|ひ][行|こう][機|き]がいませんでした。
74030,[私|わたし]も[親|おや]の[面|めん][倒|どう]とか[見|み]られないですね。
74031,『[北|きた]の[国|くに]から』は、[北|ほっ][海|かい][道|どう][富|ふ][良|ら][野|の][市|し]を[舞|ぶ][台|たい]にしたフジテレビジョン[制|せい][作|さく]のテレビドラマ。
74032,[髪|かみ]も[上|あ]げたほうが[私|わたし]は[好|す]きだ。
74033,[前|まえ][髪|がみ]が、おでこにかからないように[髪|かみ]を[上|あ]げることをおすすめします。
74034,どうしてこんな[上|じょう][等|とう]のぶどう[酒|しゅ]を[今|いま]まで[取|と]って[置|お]いたのか。
